date,temperature,weather
2015年09月01日,30℃/22℃,雷阵雨/阴
2015年09月02日,31℃/22℃,多云/晴
2015年09月03日,30℃/21℃,晴/多云
2015年09月04日,31℃/24℃,雷阵雨/中到大雨
2015年09月05日,28℃/22℃,阴/多云
2015年09月06日,28℃/21℃,多云/多云
2015年09月07日,28℃/21℃,多云/晴
2015年09月08日,29℃/20℃,晴/晴
2015年09月09日,28℃/20℃,晴/晴
2015年09月10日,28℃/19℃,晴/多云
2015年09月11日,27℃/20℃,阴/阴
2015年09月12日,26℃/16℃,多云/晴
2015年09月13日,25℃/18℃,晴/多云
2015年09月14日,27℃/20℃,多云/阴
2015年09月15日,27℃/19℃,阴/阴
2015年09月16日,27℃/17℃,多云/多云
2015年09月17日,27℃/18℃,多云/多云
2015年09月18日,27℃/19℃,多云/多云
2015年09月19日,28℃/20℃,多云/多云
2015年09月20日,28℃/18℃,多云/多云
2015年09月21日,28℃/20℃,多云/阴
2015年09月22日,27℃/22℃,阵雨/雷阵雨
2015年09月23日,27℃/20℃,阴/多云
2015年09月24日,27℃/20℃,阴/阵雨
2015年09月25日,27℃/19℃,阴/阴
2015年09月26日,28℃/19℃,多云/多云
2015年09月27日,27℃/18℃,多云/多云
2015年09月28日,28℃/21℃,多云/多云
2015年09月29日,25℃/21℃,阵雨/阵雨
2015年09月30日,27℃/17℃,雷阵雨/大雨
2015年10月01日,23℃/14℃,阵雨/多云
2015年10月02日,24℃/14℃,晴/晴
2015年10月03日,25℃/17℃,多云/多云
2015年10月04日,25℃/18℃,阴/阵雨
2015年10月05日,22℃/18℃,阴/多云
2015年10月06日,23℃/19℃,阴/阵雨
2015年10月07日,22℃/18℃,阵雨/阵雨
2015年10月08日,22℃/15℃,阴/多云
2015年10月09日,22℃/12℃,多云/晴
2015年10月10日,23℃/10℃,多云/晴
2015年10月11日,21℃/10℃,晴/晴
2015年10月12日,23℃/11℃,晴/晴
2015年10月13日,24℃/12℃,晴/多云
2015年10月14日,25℃/12℃,多云/多云
2015年10月15日,25℃/13℃,多云/晴
2015年10月16日,26℃/15℃,晴/晴
2015年10月17日,26℃/15℃,晴/晴
2015年10月18日,25℃/14℃,多云/多云
2015年10月19日,24℃/15℃,多云/多云
2015年10月20日,25℃/16℃,多云/多云
2015年10月21日,25℃/16℃,多云/多云
2015年10月22日,25℃/16℃,多云/多云
2015年10月23日,25℃/17℃,多云/多云
2015年10月24日,26℃/17℃,多云/多云
2015年10月25日,23℃/17℃,多云/阴
2015年10月26日,24℃/14℃,阵雨/小雨
2015年10月27日,19℃/11℃,多云/多云
2015年10月28日,18℃/13℃,多云/阴
2015年10月29日,17℃/12℃,阴/阴
2015年10月30日,18℃/11℃,多云/多云
2015年10月31日,17℃/10℃,多云/小雨
2015年11月01日,17℃/8℃,多云/晴
2015年11月02日,19℃/8℃,晴/晴
2015年11月03日,20℃/13℃,多云/多云
2015年11月04日,20℃/14℃,阴/阴
2015年11月05日,23℃/17℃,小雨/小雨
2015年11月06日,25℃/16℃,小雨/小到中雨
2015年11月07日,15℃/12℃,小雨/小雨
2015年11月08日,16℃/9℃,小雨/阴
2015年11月09日,17℃/8℃,多云/多云
2015年11月10日,15℃/10℃,阴/多云
2015年11月11日,15℃/11℃,多云/阴
2015年11月12日,15℃/12℃,小雨/小到中雨
2015年11月13日,16℃/11℃,阴/阴
2015年11月14日,18℃/10℃,多云/多云
2015年11月15日,18℃/14℃,阴/小到中雨
2015年11月16日,18℃/13℃,阴/小雨
2015年11月17日,16℃/12℃,小雨/小雨
2015年11月18日,15℃/11℃,小雨/小雨
2015年11月19日,12℃/10℃,小雨/阴
2015年11月20日,15℃/12℃,阴/阴
2015年11月21日,15℃/13℃,阴/小雨
2015年11月22日,17℃/14℃,小雨/小雨
2015年11月23日,15℃/6℃,阴/小雨
2015年11月24日,9℃/2℃,小到中雨/小到中雨
2015年11月25日,6℃/-1℃,阴/多云
2015年11月26日,3℃/-4℃,晴/晴
2015年11月27日,5℃/2℃,晴/多云
2015年11月28日,12℃/7℃,多云/阴
2015年11月29日,16℃/6℃,多云/晴
2015年11月30日,15℃/9℃,多云/多云
2015年12月01日,17℃/7℃,多云/阴
2015年12月02日,13℃/3℃,多云/晴
2015年12月03日,10℃/-1℃,晴/晴
2015年12月04日,10℃/4℃,晴/多云
2015年12月05日,8℃/2℃,阴/阴
2015年12月06日,10℃/1℃,多云/晴
2015年12月07日,12℃/3℃,多云/晴
2015年12月08日,14℃/8℃,晴/多云
2015年12月09日,12℃/9℃,小雨/小雨
2015年12月10日,12℃/8℃,小雨/阴
2015年12月11日,11℃/2℃,多云/多云
2015年12月12日,10℃/3℃,晴/多云
2015年12月13日,8℃/3℃,阴/阴
2015年12月14日,10℃/4℃,多云/多云
2015年12月15日,11℃/0℃,多云/多云
2015年12月16日,6℃/-4℃,晴/晴
2015年12月17日,6℃/-2℃,晴/晴
2015年12月18日,7℃/-1℃,晴/多云
2015年12月19日,9℃/5℃,多云/小雨
2015年12月20日,8℃/1℃,小雨/阴
2015年12月21日,11℃/5℃,多云/阴
2015年12月22日,11℃/6℃,阴/雾
2015年12月23日,11℃/7℃,阴/小雨
2015年12月24日,9℃/5℃,小雨/阴
2015年12月25日,11℃/3℃,多云/晴
2015年12月26日,14℃/4℃,多云/多云
2015年12月27日,10℃/2℃,阴/多云
2015年12月28日,7℃/0℃,多云/多云
2015年12月29日,9℃/1℃,多云/晴
2015年12月30日,12℃/0℃,晴/晴
2015年12月31日,10℃/0℃,晴/晴
2016年01月01日,11℃/4℃,多云/多云
2016年01月02日,15℃/7℃,多云/小雨
2016年01月03日,16℃/7℃,多云/阴
2016年01月04日,13℃/6℃,小雨/小到中雨
2016年01月05日,8℃/6℃,阴/阴
2016年01月06日,8℃/3℃,阴/多云
2016年01月07日,8℃/-1℃,阴/阴
2016年01月08日,7℃/-1℃,多云/晴
2016年01月09日,9℃/3℃,多云/阴
2016年01月10日,10℃/3℃,小雨/小雨
2016年01月11日,6℃/0℃,小雨/雨夹雪
2016年01月12日,4℃/-2℃,阴/阴
2016年01月13日,5℃/-3℃,多云/多云
2016年01月14日,8℃/-2℃,多云/多云
2016年01月15日,9℃/-2℃,晴/晴
2016年01月16日,11℃/3℃,多云/小雨
2016年01月17日,8℃/-1℃,阴/晴
2016年01月18日,5℃/-4℃,晴/晴
2016年01月19日,4℃/-4℃,晴/多云
2016年01月20日,4℃/0℃,雨夹雪/中到大雪
2016年01月21日,1℃/-1℃,小雪/小雪
2016年01月22日,2℃/-5℃,小到中雪/小雪
2016年01月23日,0℃/-9℃,阴/多云
2016年01月24日,-5℃/-8℃,晴/晴
2016年01月25日,2℃/-6℃,晴/晴
2016年01月26日,6℃/-2℃,晴/多云
2016年01月27日,8℃/4℃,多云/小雨
2016年01月28日,6℃/3℃,小雨/小到中雨
2016年01月29日,5℃/0℃,小雨/雨夹雪
2016年01月30日,4℃/-1℃,雨夹雪/阴
2016年01月31日,4℃/-3℃,雨夹雪/小雪
2016年02月01日,2℃/-4℃,多云/多云
2016年02月02日,5℃/-4℃,多云/多云
2016年02月03日,7℃/-3℃,晴/多云
2016年02月04日,7℃/-1℃,阴/阴
2016年02月05日,9℃/-2℃,多云/阴
2016年02月06日,7℃/-3℃,多云/晴
2016年02月07日,11℃/-2℃,多云/多云
2016年02月08日,15℃/3℃,晴/晴
2016年02月09日,17℃/6℃,多云/多云
2016年02月10日,21℃/11℃,多云/阵雨
2016年02月11日,20℃/11℃,雷阵雨/多云
2016年02月12日,16℃/6℃,雷阵雨/小到中雨
2016年02月13日,11℃/1℃,阵雨/阴
2016年02月14日,5℃/-4℃,阴/多云
2016年02月15日,7℃/-1℃,晴/晴
2016年02月16日,10℃/1℃,多云/晴
2016年02月17日,12℃/3℃,多云/多云
2016年02月18日,16℃/4℃,多云/多云
2016年02月19日,13℃/3℃,阴/多云
2016年02月20日,12℃/0℃,多云/多云
2016年02月21日,11℃/5℃,阴/小雨
2016年02月22日,8℃/4℃,小雨/阴
2016年02月23日,11℃/1℃,多云/阴
2016年02月24日,10℃/1℃,晴/多云
2016年02月25日,13℃/3℃,多云/多云
2016年02月26日,17℃/6℃,多云/多云
2016年02月27日,19℃/8℃,晴/晴
2016年02月28日,16℃/2℃,多云/多云
2016年02月29日,11℃/0℃,晴/晴
2016年03月01日,13℃/4℃,晴/多云
2016年03月02日,18℃/7℃,多云/多云
2016年03月03日,19℃/11℃,阴/小雨
2016年03月04日,20℃/13℃,阵雨/阴
2016年03月05日,19℃/10℃,阵雨/阴
2016年03月06日,20℃/9℃,多云/多云
2016年03月07日,21℃/3℃,阴/小雨
2016年03月08日,8℃/2℃,中到大雨/小雨
2016年03月09日,7℃/1℃,阴/阴
2016年03月10日,7℃/0℃,多云/多云
2016年03月11日,11℃/2℃,多云/多云
2016年03月12日,14℃/7℃,多云/小雨
2016年03月13日,15℃/5℃,小雨/多云
2016年03月14日,14℃/4℃,晴/多云
2016年03月15日,14℃/6℃,多云/阴
2016年03月16日,18℃/10℃,多云/阴
2016年03月17日,17℃/12℃,小雨/阵雨
2016年03月18日,18℃/12℃,阴/阴
2016年03月19日,19℃/8℃,多云/多云
2016年03月20日,18℃/7℃,多云/多云
2016年03月21日,17℃/8℃,多云/多云
2016年03月22日,16℃/10℃,多云/阴
2016年03月23日,14℃/4℃,多云/多云
2016年03月24日,12℃/4℃,多云/多云
2016年03月25日,15℃/3℃,多云/多云
2016年03月26日,15℃/4℃,阵雨/多云
2016年03月27日,18℃/6℃,多云/晴
2016年03月28日,21℃/10℃,多云/多云
2016年03月29日,21℃/13℃,多云/阴
2016年03月30日,19℃/13℃,阵雨/阵雨
2016年03月31日,19℃/10℃,阴/多云
2016年04月01日,25℃/14℃,多云/多云
2016年04月02日,21℃/13℃,小到中雨/中雨
2016年04月03日,15℃/10℃,小到中雨/阴
2016年04月04日,18℃/11℃,多云/多云
2016年04月05日,18℃/13℃,阵雨/中到大雨
2016年04月06日,16℃/12℃,中到大雨/中雨
2016年04月07日,19℃/12℃,阴/多云
2016年04月08日,24℃/13℃,多云/多云
2016年04月09日,24℃/14℃,阴/多云
2016年04月10日,25℃/12℃,多云/多云
2016年04月11日,21℃/14℃,多云/阴
2016年04月12日,24℃/16℃,多云/多云
2016年04月13日,27℃/17℃,多云/多云
2016年04月14日,28℃/16℃,多云/多云
2016年04月15日,24℃/16℃,多云/中雨
2016年04月16日,20℃/12℃,中到大雨/阴
2016年04月17日,20℃/11℃,多云/阴
2016年04月18日,23℃/12℃,晴/晴
2016年04月19日,24℃/15℃,多云/雷阵雨
2016年04月20日,18℃/15℃,暴雨/阵雨
2016年04月21日,25℃/15℃,多云/多云
2016年04月22日,27℃/15℃,多云/雷阵雨
2016年04月23日,17℃/14℃,阵雨/阴
2016年04月24日,18℃/13℃,阴/阴
2016年04月25日,21℃/14℃,阴/雷阵雨
2016年04月26日,17℃/12℃,阵雨/阵雨
2016年04月27日,15℃/11℃,小雨/多云
2016年04月28日,23℃/12℃,多云/晴
2016年04月29日,25℃/15℃,晴/晴
2016年04月30日,28℃/17℃,晴/晴
2016年05月01日,29℃/20℃,多云/雷阵雨
2016年05月02日,25℃/16℃,中雨/雷阵雨
2016年05月03日,25℃/14℃,晴/晴
2016年05月04日,29℃/19℃,多云/阴
2016年05月05日,25℃/20℃,小到中雨/阴
2016年05月06日,27℃/18℃,阴/阴
2016年05月07日,20℃/14℃,雷阵雨/阴
2016年05月08日,19℃/15℃,阴/阴
2016年05月09日,20℃/14℃,阵雨/阵雨
2016年05月10日,22℃/13℃,多云/晴
2016年05月11日,27℃/15℃,晴/晴
2016年05月12日,30℃/17℃,晴/阴
2016年05月13日,23℃/15℃,阴/多云
2016年05月14日,25℃/15℃,阴/雷阵雨
2016年05月15日,16℃/12℃,小到中雨/阴
2016年05月16日,25℃/13℃,晴/晴
2016年05月17日,26℃/14℃,晴/晴
2016年05月18日,25℃/15℃,多云/多云
2016年05月19日,26℃/18℃,多云/多云
2016年05月20日,23℃/17℃,阵雨/中雨
2016年05月21日,19℃/17℃,小到中雨/小雨
2016年05月22日,20℃/16℃,阴/阴
2016年05月23日,23℃/16℃,阴/阴
2016年05月24日,26℃/17℃,多云/多云
2016年05月25日,28℃/21℃,多云/雷阵雨
2016年05月26日,26℃/19℃,雷阵雨/小到中雨
2016年05月27日,22℃/19℃,小到中雨/阵雨
2016年05月28日,23℃/19℃,阵雨/阵雨
2016年05月29日,24℃/17℃,阴/多云
2016年05月30日,27℃/21℃,多云/多云
2016年05月31日,28℃/20℃,小到中雨/暴雨
2016年06月01日,22℃/17℃,阵雨/阵雨
2016年06月02日,25℃/19℃,多云/阵雨
2016年06月03日,20℃/17℃,阵雨/阵雨
2016年06月04日,24℃/16℃,阴/多云
2016年06月05日,27℃/19℃,多云/多云
2016年06月06日,28℃/19℃,雷阵雨/中雨
2016年06月07日,27℃/21℃,阴/阵雨
2016年06月08日,26℃/19℃,阵雨/阴
2016年06月09日,27℃/20℃,多云/多云
2016年06月10日,30℃/22℃,多云/阴
2016年06月11日,30℃/23℃,多云/雷阵雨
2016年06月12日,27℃/20℃,雷阵雨/多云
2016年06月13日,30℃/22℃,多云/多云
2016年06月14日,33℃/25℃,多云/多云
2016年06月15日,31℃/21℃,雷阵雨/阴
2016年06月16日,29℃/21℃,多云/多云
2016年06月17日,32℃/22℃,晴/晴
2016年06月18日,32℃/24℃,多云/雷阵雨
2016年06月19日,30℃/25℃,雷阵雨/小到中雨
2016年06月20日,28℃/24℃,中雨/中雨
2016年06月21日,31℃/26℃,中到大雨/中雨
2016年06月22日,32℃/25℃,中雨/阴
2016年06月23日,33℃/24℃,雷阵雨/雷阵雨
2016年06月24日,28℃/21℃,中雨/阵雨
2016年06月25日,27℃/19℃,雷阵雨/多云
2016年06月26日,28℃/21℃,多云/小到中雨
2016年06月27日,25℃/20℃,雷阵雨/中雨
2016年06月28日,24℃/21℃,雷阵雨/雷阵雨
2016年06月29日,29℃/22℃,雷阵雨/阴
2016年06月30日,32℃/25℃,多云/中雨
2016年07月01日,28℃/25℃,中雨/大雨
2016年07月02日,24℃/22℃,大雨/暴雨
2016年07月03日,25℃/22℃,大雨/大到暴雨
2016年07月04日,25℃/23℃,大雨/大雨
2016年07月05日,27℃/23℃,中雨/中雨
2016年07月06日,27℃/25℃,雷阵雨/雷阵雨
2016年07月07日,29℃/24℃,中雨/阴
2016年07月08日,32℃/25℃,多云/多云
2016年07月09日,30℃/24℃,多云/阵雨
2016年07月10日,29℃/24℃,雷阵雨/雷阵雨
2016年07月11日,30℃/24℃,雷阵雨/阴
2016年07月12日,32℃/26℃,多云/多云
2016年07月13日,32℃/26℃,中雨/雷阵雨
2016年07月14日,30℃/25℃,中雨/雷阵雨
2016年07月15日,30℃/22℃,中到大雨/雷阵雨
2016年07月16日,29℃/23℃,多云/多云
2016年07月17日,31℃/24℃,雷阵雨/雷阵雨
2016年07月18日,30℃/25℃,雷阵雨/阴
2016年07月19日,32℃/27℃,雷阵雨/多云
2016年07月20日,35℃/28℃,多云/多云
2016年07月21日,35℃/28℃,多云/晴
2016年07月22日,36℃/29℃,多云/晴
2016年07月23日,38℃/28℃,多云/晴
2016年07月24日,38℃/29℃,晴/晴
2016年07月25日,39℃/29℃,晴/晴
2016年07月26日,39℃/29℃,晴/晴
2016年07月27日,37℃/30℃,多云/晴
2016年07月28日,38℃/29℃,多云/晴
2016年07月29日,38℃/29℃,多云/晴
2016年07月30日,37℃/28℃,多云/晴
2016年07月31日,36℃/28℃,多云/多云
2016年08月01日,36℃/27℃,多云/多云
2016年08月02日,35℃/26℃,雷阵雨/雷阵雨
2016年08月03日,31℃/25℃,雷阵雨/多云
2016年08月04日,31℃/26℃,雷阵雨/多云
2016年08月05日,32℃/26℃,雷阵雨/多云
2016年08月06日,32℃/26℃,雷阵雨/多云
2016年08月07日,33℃/26℃,雷阵雨/多云
2016年08月08日,34℃/27℃,多云/多云
2016年08月09日,34℃/27℃,多云/多云
2016年08月10日,34℃/27℃,多云/多云
2016年08月11日,35℃/27℃,多云/多云
2016年08月12日,35℃/27℃,多云/晴
2016年08月13日,35℃/28℃,晴/多云
2016年08月14日,36℃/27℃,多云/晴
2016年08月15日,35℃/27℃,晴/多云
2016年08月16日,35℃/27℃,晴/多云
2016年08月17日,35℃/27℃,多云/多云
2016年08月18日,36℃/28℃,多云/多云
2016年08月19日,37℃/28℃,晴/多云
2016年08月20日,35℃/27℃,雷阵雨/阴
2016年08月21日,33℃/27℃,雷阵雨/阴
2016年08月22日,34℃/27℃,多云/多云
2016年08月23日,34℃/26℃,多云/多云
2016年08月24日,34℃/25℃,多云/晴
2016年08月25日,34℃/25℃,多云/多云
2016年08月26日,29℃/23℃,阴/阴
2016年08月27日,29℃/20℃,多云/晴
2016年08月28日,30℃/19℃,晴/晴
2016年08月29日,30℃/20℃,晴/晴
2016年08月30日,31℃/21℃,晴/多云
2016年08月31日,32℃/22℃,多云/多云
2016年09月01日,33℃/22℃,多云/晴
2016年09月02日,34℃/22℃,晴/晴
2016年09月03日,34℃/23℃,多云/多云
2016年09月04日,32℃/22℃,多云/多云
2016年09月05日,33℃/24℃,多云/阴
2016年09月06日,27℃/22℃,阵雨/阵雨
2016年09月07日,29℃/22℃,阴/多云
2016年09月08日,30℃/21℃,多云/多云
2016年09月09日,32℃/23℃,多云/阴
2016年09月10日,30℃/21℃,阴/阴
2016年09月11日,30℃/20℃,多云/多云
2016年09月12日,30℃/20℃,多云/多云
2016年09月13日,30℃/21℃,多云/多云
2016年09月14日,29℃/21℃,多云/阵雨
2016年09月15日,24℃/22℃,大雨/暴雨
2016年09月16日,23℃/21℃,暴雨/阴
2016年09月17日,27℃/20℃,阴/多云
2016年09月18日,28℃/20℃,多云/多云
2016年09月19日,26℃/17℃,多云/晴
2016年09月20日,25℃/18℃,多云/多云
2016年09月21日,25℃/18℃,阴/多云
2016年09月22日,26℃/18℃,多云/晴
2016年09月23日,28℃/19℃,多云/多云
2016年09月24日,29℃/21℃,多云/多云
2016年09月25日,29℃/22℃,多云/多云
2016年09月26日,30℃/23℃,多云/多云
2016年09月27日,30℃/23℃,雷阵雨/雷阵雨
2016年09月28日,23℃/19℃,阵雨/中雨
2016年09月29日,20℃/18℃,中雨/大雨
2016年09月30日,21℃/19℃,大雨/阵雨
2016年10月01日,24℃/19℃,阵雨/阵雨
2016年10月02日,24℃/20℃,阵雨/阵雨
2016年10月03日,26℃/18℃,多云/多云
2016年10月04日,27℃/18℃,多云/多云
2016年10月05日,27℃/20℃,多云/多云
2016年10月06日,25℃/19℃,多云/阵雨
2016年10月07日,20℃/17℃,中雨/小到中雨
2016年10月08日,22℃/14℃,多云/晴
2016年10月09日,21℃/14℃,多云/多云
2016年10月10日,20℃/16℃,多云/阴
2016年10月11日,20℃/16℃,阴/阴
2016年10月12日,19℃/16℃,阴/阴
2016年10月13日,20℃/16℃,阴/阵雨
2016年10月14日,19℃/17℃,阴/阵雨
2016年10月15日,22℃/18℃,阵雨/阵雨
2016年10月16日,24℃/17℃,阴/多云
2016年10月17日,23℃/18℃,多云/阴
2016年10月18日,22℃/18℃,阴/阴
2016年10月19日,23℃/19℃,阴/小雨
2016年10月20日,21℃/19℃,小到中雨/中雨
2016年10月21日,21℃/19℃,小到中雨/中到大雨
2016年10月22日,21℃/18℃,中到大雨/小雨
2016年10月23日,20℃/15℃,阴/阴
2016年10月24日,21℃/16℃,阴/阵雨
2016年10月25日,18℃/15℃,阴/中雨
2016年10月26日,18℃/16℃,大雨/中雨
2016年10月27日,18℃/13℃,中到大雨/小雨
2016年10月28日,15℃/11℃,小到中雨/小雨
2016年10月29日,12℃/8℃,小雨/阴
2016年10月30日,17℃/13℃,多云/小雨
2016年10月31日,14℃/7℃,小雨/阴
2016年11月01日,15℃/5℃,多云/晴
2016年11月02日,16℃/8℃,晴/晴
2016年11月03日,18℃/8℃,晴/晴
2016年11月04日,21℃/10℃,晴/多云
2016年11月05日,23℃/11℃,多云/晴
2016年11月06日,23℃/13℃,多云/阴
2016年11月07日,18℃/11℃,小雨/小雨
2016年11月08日,11℃/7℃,阴/多云
2016年11月09日,12℃/8℃,阴/阴
2016年11月10日,12℃/6℃,阴/晴
2016年11月11日,18℃/9℃,多云/多云
2016年11月12日,18℃/11℃,多云/阴
2016年11月13日,20℃/13℃,多云/阴
2016年11月14日,21℃/11℃,阴/多云
2016年11月15日,17℃/9℃,多云/阴
2016年11月16日,15℃/11℃,小雨/小雨
2016年11月17日,16℃/14℃,小雨/小雨
2016年11月18日,19℃/15℃,小雨/小到中雨
2016年11月19日,19℃/15℃,阴/阴
2016年11月20日,18℃/14℃,小雨/小雨
2016年11月21日,16℃/9℃,小雨/小雨
2016年11月22日,6℃/2℃,小雨/雨夹雪
2016年11月23日,3℃/-1℃,雨夹雪/多云
2016年11月24日,5℃/-1℃,多云/多云
2016年11月25日,9℃/4℃,多云/小雨
2016年11月26日,9℃/1℃,小雨/多云
2016年11月27日,13℃/3℃,晴/晴
2016年11月28日,12℃/3℃,多云/多云
2016年11月29日,12℃/7℃,多云/小雨
2016年11月30日,13℃/4℃,多云/多云
2016年12月01日,14℃/4℃,晴/多云
2016年12月02日,14℃/5℃,多云/多云
2016年12月03日,14℃/7℃,多云/阴
2016年12月04日,17℃/6℃,多云/多云
2016年12月05日,18℃/4℃,多云/多云
2016年12月06日,10℃/2℃,晴/多云
2016年12月07日,14℃/4℃,晴/多云
2016年12月08日,17℃/5℃,晴/晴
2016年12月09日,13℃/5℃,晴/多云
2016年12月10日,11℃/6℃,多云/多云
2016年12月11日,12℃/7℃,阴/阴
2016年12月12日,14℃/9℃,阴/小雨
2016年12月13日,11℃/3℃,小雨/阴
2016年12月14日,6℃/-2℃,多云/晴
2016年12月15日,8℃/0℃,晴/多云
2016年12月16日,9℃/-1℃,多云/晴
2016年12月17日,12℃/1℃,晴/多云
2016年12月18日,14℃/4℃,多云/多云
2016年12月19日,16℃/9℃,多云/小雨
2016年12月20日,12℃/10℃,小雨/小到中雨
2016年12月21日,12℃/6℃,中雨/阴
2016年12月22日,11℃/2℃,阴/多云
2016年12月23日,10℃/3℃,多云/多云
2016年12月24日,7℃/4℃,阴/小雨
2016年12月25日,9℃/7℃,小雨/小到中雨
2016年12月26日,8℃/2℃,小雨/阴
2016年12月27日,6℃/-2℃,多云/晴
2016年12月28日,7℃/-2℃,多云/晴
2016年12月29日,7℃/-1℃,晴/晴
2016年12月30日,9℃/0℃,多云/多云
2016年12月31日,12℃/1℃,晴/晴
2017年01月01日,15℃/4℃,多云/阴
2017年01月02日,14℃/4℃,多云/多云
2017年01月03日,13℃/5℃,多云/阴
